"","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"Alpen Park",6,8,9,14,21,19,20,19
"Dreamland Museu de Cera",13,7,7,7,6,6,7,8
"Fragram - Museu do Perfume",16,15,24,25,30,29,27,31
"GramadoZoo",3,5,6,9,15,20,17,17
"Harley Motor Show",10.5,4,5,5,7,9,10,10
"Igreja Matriz São Pedro Apóstolo",4,6,4,4,4,5,4,5
"Lago Negro",1,1,1,1,1,1,1,1
"Mini Mundo",2,2,2,2,2,2,3,3
"Mirante do Belvedere",10.5,11,10,12,17,22,21,25
"Mundo Encantado",14,17,22,26,28,30,30,27
"Museu do Automóvel - Hollywood Dream Cars",5,3,3,6,5,7,9,11
"O Reino do Chocolate",12,12,15,18,16,17,18,18
"Parque Gaúcho",17,20,17,21,26,28,25,23
"Pórtico via Nova Petrópolis",9,9,8,8,10,10,12,13
"Pórtico Via Taquara",8,13,18,17,13,18,19,21
"Praça Major Nicoletti",7,14,13,16,18,23,23,22
"Rotula das Bandeiras",15,18,25,23,19,21,24,32
"Rua Coberta",18,10,11,11,8,3,2,2
"A Mina",,25,23,27,29,24,22,20
"Casa do Colono",,16,12,10,12,14,16,14
"Centro Municipal de Cultura",,24,35,35,36,37,42,43
"Cine -Teatro Elizabeth Rosenfeld",,29.5,36,34,39,40,45,42
"Ervateira Marcon - Natural de Gramado",,28,30.5,31,34,33,38,39
"Le Jardin Parque de Lavanda",,21,16,15,14,11,8,6
"Museu Fioreze",,29.5,28,32,37,38,44,41
"Museu Gramado - Minerais & Pedras Preciosas",,22,21,20,23,25,28,29
"Parque do Pinheiro Grosso",,23,26,29,35,36,43,44
"Parque Temático Mundo Gelado",,26.5,20,22,27,26,26,24
"Praça das Etnias",,26.5,27,24,11,15,14,15
"Prefeitura Municipal de Gramado",,19,19,19,24,27,29,34
"Casa Centenária",,,29,33,32,32,37,38
"Fonte do Amor Eterno",,,30.5,13,9,8,6,7
"Memorial Casa Italiana",,,32,30,33,35,34,37
"Museu de Artes Dr. Carlos Nelz",,,33,37,42,,,
"Museu do Sapato",,,34,40,41,44,47,
"Snowland",,,14,3,3,4,5,4
"Vinícola Ravanello",,,37,28,31,31,32,28
"A Rua Torta de Gramado",,,,41,25,16,13,9
"Casa das Artes",,,,39,38,42,46,47.5
"Mundo de Chocolate",,,,38,20,13,15,16
"Museu Naval",,,,36,40,41,41,45
"Aldeia do Papai Noel",,,,,22,12,11,12
"Gram Bier",,,,,44,34,33,33
"Museu do Festival de Cinema de Gramado",,,,,43,39,31,30
"Caro Watson Escape Game",,,,,,45,36,36
"Casa Seganfredo",,,,,,46,39,35
"Colorio",,,,,,47,48,
"Vinicola Masotti",,,,,,43,40,40
"Chave-Mestra Escape Game Gramado",,,,,,,35,26
"Adega Dom Carlo",,,,,,,,47.5
"Parque Olivas de Gramado",,,,,,,,49
"Vinícola Stopassola",,,,,,,,46
